url,titulo,descricao,quantidade_cama,preco_por_noite,estrelas,quantidade_avaliacoes
https://a0.muscache.com/im/pictures/0501a768-5a4b-4e44-8c52-a0520017fd25.jpg?im_w=320,Apartamento em Altiplano Cabo Branco ,Apt em edifício Spa Resot com vista para o mar,2,210,"4,78",101
https://a0.muscache.com/im/pictures/2ef2d1b6-9ba4-495e-9b56-ab0c27342a49.jpg?im_w=320,Apartamento em Tambaú,Flat de frente a linda praia de tambaú,3,320,"4,93",46
https://a0.muscache.com/im/pictures/055e9341-acb1-4248-a3fb-8e32b6c81004.jpg?im_w=320,Apartamento em Tambaú,"No melhor de Tambaú, Eco Summer.",2,346,"4,89",36
https://a0.muscache.com/im/pictures/4e80d81e-f3db-4921-81ea-357941bd0807.jpg?im_w=320,Apartamento em Cabo Branco,Apt amplo em luxuoso Hotel a 50 metros da praia,4,185,"4,83",69
https://a0.muscache.com/im/pictures/miso/Hosting-812185729148561686/original/6452dbec-3534-4c2d-9e93-638f898017a0.jpeg?im_w=320,Apartamento em João Pessoa,Sol e Mar c/ vista p/ Atlântico,2,246,0,0
https://a0.muscache.com/im/pictures/2bbd0b23-8320-44bc-89ef-980dd7b3c1f5.jpg?im_w=320,Apartamento em Cabo Branco,Flat completo na beira-mar de Cabo Branco ,2,225,"4,78",18
https://a0.muscache.com/im/pictures/26605c3a-6586-4e4a-a285-4ff3628b2add.jpg?im_w=320,Microcasa em João Pessoa,Chalé Caribe,1,84,"4,87",30
https://a0.muscache.com/im/pictures/ae7b69c4-72f2-4646-a2d6-b53422adcdf1.jpg?im_w=320,Apartamento em Jardim Oceania,Flat à 200 mts da Praia do Bessa com Área Completa,1,230,"4,98",58
https://a0.muscache.com/im/pictures/miso/Hosting-651470798398666043/original/fc66a3e7-f437-4f5d-bfac-8c0e5c53f4b3.jpeg?im_w=320,Apartamento em Manaíra,"Manaira Gold flat, ao lado do Manaira shopping",1,188,5,19
https://a0.muscache.com/im/pictures/miso/Hosting-603413783641213912/original/040875e8-9e5a-411f-acea-4971a4140a54.jpeg?im_w=320,Apartamento em Cabo Branco,Flat à beira-mar 316 Infinito no Mar por Julio,1,318,"4,91",33
https://a0.muscache.com/im/pictures/aaa892b1-c0d9-4aed-bc29-f5d9bd832c3d.jpg?im_w=320,Quarto inteiro em Jardim Oceania,Suíte com ar condicionado na praia do Bessa.,1,92,"4,9",31
https://a0.muscache.com/im/pictures/c227a36a-baa6-4b95-9e28-b57e09b86738.jpg?im_w=320,Condomínio em Tambaú,LUXOR - Conforto e Lazer na Praia de Tambaú,6,268,"4,94",18
https://a0.muscache.com/im/pictures/prohost-api/Hosting-45436192/original/5b46bb84-60b0-447f-a659-d45e6accd931.jpeg?im_w=320,Apartamento em Cabo Branco ,"Luxor Cabo Branco | Vista Mar e Piscina, Praia, Wi-Fi",2,349,"4,81",36
https://a0.muscache.com/im/pictures/e62deaab-4ec1-4c32-ade8-231ef327c0a1.jpg?im_w=320,Apartamento em João Pessoa,Vista perfeita na melhor localização de Jampa,1,182,"4,92",12
https://a0.muscache.com/im/pictures/miso/Hosting-780949515090498831/original/4f4f98b6-564e-43c3-9584-c176721e95d9.jpeg?im_w=320,Apartamento em João Pessoa,Excelente Localização na Praia de Cabo Branco,2,169,0,0
https://a0.muscache.com/im/pictures/0f9a85b6-2488-4d38-a3e5-ab5f7a5376c9.jpg?im_w=320,Quarto inteiro em Manaíra,Quarto 1,1,80,5,18
https://a0.muscache.com/im/pictures/cc15c5f0-c531-417f-bfe8-0617f00ff7bd.jpg?im_w=320,Condomínio em João Pessoa,Aconchegante Apto,2,158,0,0
https://a0.muscache.com/im/pictures/prohost-api/Hosting-782673126784944611/original/d31a8ee9-a14f-4206-80e9-c9eb42f397e6.jpeg?im_w=320,Quarto inteiro em João Pessoa,Imperial Suítes - Vista maravilhosa para o mar,1,232,0,0
https://a0.muscache.com/im/pictures/70847ecb-786f-4c98-9a42-12101f6e2df0.jpg?im_w=320,Condomínio em Jadim Oceania,Joao Pessoa apto férias Oceania Bessa.,2,295,"4,93",45
